,id,name,country_code,country,hand,age,url,date_accessed
1514,42229,JESSUP Krystal,AUS,AUSTRALIA,Right,19,https://fie.org/athletes/42229,2021-05-13 21:24:28
1515,34044,MUELLER Lena,GER,GERMANY,Right,25,https://fie.org/athletes/34044,2021-05-13 21:24:34
1516,34102,ROSSA Veronica,ITA,ITALY,Right,25,https://fie.org/athletes/34102,2021-05-13 21:24:40
1517,34150,WALTHER Lea-Margarete,GER,GERMANY,Left,25,https://fie.org/athletes/34150,2021-05-13 21:24:43
1518,42427,TIPIRNENI Bhagya Shree,IND,INDIA,Right,21,https://fie.org/athletes/42427,2021-05-13 21:24:54
1519,34267,RUIZ MARTINEZ Maria Belen,ARG,ARGENTINA,Right,22,https://fie.org/athletes/34267,2021-05-13 21:25:10
1520,34323,MILLEPIED Honorine,FRA,FRANCE,Right,23,https://fie.org/athletes/34323,2021-05-13 21:25:16
1521,42521,DOSTIE-VIGNEAULT Elizabeth,CAN,CANADA,Right,22,https://fie.org/athletes/42521,2021-05-13 21:25:17
1522,34336,SCHIAVONE Cecilia,ITA,ITALY,Right,22,https://fie.org/athletes/34336,2021-05-13 21:25:18
1523,34358,ESPINOZA ROQUEZ Sofia Lara,ARG,ARGENTINA,Right,22,https://fie.org/athletes/34358,2021-05-13 21:25:25
1524,34447,DE ZOLT Letizia,ITA,ITALY,Right,23,https://fie.org/athletes/34447,2021-05-13 21:25:39
1525,34484,KAUSHAL Sonalika,IND,INDIA,Right,24,https://fie.org/athletes/34484,2021-05-13 21:25:56
1526,42726,YANKOVSKIY Anastasia,USA,USA,Right,18,https://fie.org/athletes/42726,2021-05-13 21:26:04
1527,42732,BARONNET Maelle,FRA,FRANCE,Right,22,https://fie.org/athletes/42732,2021-05-13 21:26:05
1528,42734,CHAULLET Mathilde,FRA,FRANCE,Right,21,https://fie.org/athletes/42734,2021-05-13 21:29:28
1529,42746,TAPIA Alenka Nicole,BOL,BOLIVIA,Right,20,https://fie.org/athletes/42746,2021-05-13 21:29:33
1530,34604,VALLE ARANA Alejandra Guadalupe,ESA,EL SALVADOR,Right,22,https://fie.org/athletes/34604,2021-05-13 21:29:57
1531,34605,REYES SANCHEZ Vanessa Esmeralda,ESA,EL SALVADOR,Right,23,https://fie.org/athletes/34605,2021-05-13 21:30:02
1532,34606,CRESPIN NAVARRO Rosaura Guadalupe,ESA,EL SALVADOR,Right,21,https://fie.org/athletes/34606,2021-05-13 21:30:07
1533,34614,PEREIRA Carolina,PAR,PARAGUAY,Right,25,https://fie.org/athletes/34614,2021-05-13 21:30:09
1534,34623,BERNAT Viktoria,HUN,HUNGARY,Right,22,https://fie.org/athletes/34623,2021-05-13 21:30:10
1535,51033,OLSZEWSKA Amelia,POL,POLAND,Right,16,https://fie.org/athletes/51033,2021-05-13 21:30:14
1536,42845,HANSEN Andrea,SWE,SWEDEN,Right,19,https://fie.org/athletes/42845,2021-05-13 21:30:14
1537,42909,GUALTERO MOSQUERA Juanita,COL,COLOMBIA,Right,19,https://fie.org/athletes/42909,2021-05-13 21:30:28
1538,51122,HORSLEY Asherah,USA,USA,Left,18,https://fie.org/athletes/51122,2021-05-13 21:30:37
1539,51145,ZSOLDOSI Emilia,HUN,HUNGARY,Right,17,https://fie.org/athletes/51145,2021-05-13 21:30:40
1540,34788,GARCÍA Ethel Jassnori,NCA,NICARAGUA,Right,21,https://fie.org/athletes/34788,2021-05-13 21:30:45
